Testing Epoch: 65, Rp: 0.8137716194301399, R2: 0.16975635601475858, MAE: 3.7480453189372214, RMSE: 6.066590762034847
Testing Epoch: 66, Rp: 0.8143377676978114, R2: 0.1780430847162705, MAE: 3.7288860350563295, RMSE: 6.036239271353809
Testing Epoch: 67, Rp: 0.8149286511763345, R2: 0.18634350285308576, MAE: 3.7099437491028833, RMSE: 6.0056838723667125
Testing Epoch: 68, Rp: 0.8155274685838673, R2: 0.1945952386533627, MAE: 3.6907592652077876, RMSE: 5.975152803696803
Testing Epoch: 69, Rp: 0.8161254698733331, R2: 0.2028559871823543, MAE: 3.6715561811331856, RMSE: 5.944431323412004
Testing Epoch: 70, Rp: 0.8167191462410859, R2: 0.21093920364888485, MAE: 3.6527997492007716, RMSE: 5.914215606028484
Testing Epoch: 71, Rp: 0.8172962603525631, R2: 0.21880763024385774, MAE: 3.6344394055180063, RMSE: 5.88465377408558
Testing Epoch: 72, Rp: 0.8179097417437275, R2: 0.22661140044573935, MAE: 3.616292002266877, RMSE: 5.855187441350883
Testing Epoch: 73, Rp: 0.8185418431588994, R2: 0.23435127236290032, MAE: 3.59797000475801, RMSE: 5.825815172677735
Testing Epoch: 74, Rp: 0.8191602833443219, R2: 0.24220762204407698, MAE: 3.5793034537066157, RMSE: 5.795848650968616
Testing Epoch: 75, Rp: 0.8197711888077273, R2: 0.24988160633856715, MAE: 3.561072371635451, RMSE: 5.766427381201449
Testing Epoch: 76, Rp: 0.8203656717831053, R2: 0.2573359797416186, MAE: 3.543408840961448, RMSE: 5.737703629486263
Testing Epoch: 77, Rp: 0.8209829438725167, R2: 0.2647939885345194, MAE: 3.5256791438405224, RMSE: 5.708821243066971
Testing Epoch: 78, Rp: 0.8215968030181783, R2: 0.27212347754737864, MAE: 3.5082635378160902, RMSE: 5.680293489809938
Testing Epoch: 79, Rp: 0.8222120450692332, R2: 0.2794460681546185, MAE: 3.4905601622601705, RMSE: 5.651648792343784
Testing Epoch: 80, Rp: 0.8228387333866226, R2: 0.2867994785424808, MAE: 3.472848320951315, RMSE: 5.622736683897921
Testing Epoch: 81, Rp: 0.8234464705027702, R2: 0.293939534367593, MAE: 3.4555314628973552, RMSE: 5.5945204679344345
Testing Epoch: 82, Rp: 0.824062703893265, R2: 0.30091495256298106, MAE: 3.438548880525241, RMSE: 5.5668167626119205
Testing Epoch: 83, Rp: 0.8246910788627644, R2: 0.30782215862295303, MAE: 3.4217225893265364, RMSE: 5.539247441493904
Testing Epoch: 84, Rp: 0.8253351785059999, R2: 0.3146922989543819, MAE: 3.4046298258075187, RMSE: 5.511689272708009
Testing Epoch: 85, Rp: 0.825989344705768, R2: 0.32163788727805176, MAE: 3.387363610638603, RMSE: 5.483687678666571
Testing Epoch: 86, Rp: 0.8266047684911099, R2: 0.328403216304875, MAE: 3.370483335686776, RMSE: 5.456274655335892
Testing Epoch: 87, Rp: 0.8272233012671069, R2: 0.33498188876386226, MAE: 3.3541024188283943, RMSE: 5.429485232758266
Testing Epoch: 88, Rp: 0.8278629442719898, R2: 0.3415320637386463, MAE: 3.3375704177666967, RMSE: 5.402679883547181
Testing Epoch: 89, Rp: 0.8285116577763383, R2: 0.34810914001470084, MAE: 3.3208758974858874, RMSE: 5.375629959259725
Testing Epoch: 90, Rp: 0.8291326616393666, R2: 0.3544957023602098, MAE: 3.3044317559450667, RMSE: 5.34923267451448
Testing Epoch: 91, Rp: 0.8297411228279171, R2: 0.36086986604534366, MAE: 3.28808619392509, RMSE: 5.32275610641042
Testing Epoch: 92, Rp: 0.8303586360933919, R2: 0.36707044537865574, MAE: 3.2724831192190957, RMSE: 5.296873575869416
Testing Epoch: 93, Rp: 0.8309912876362415, R2: 0.37317135495216436, MAE: 3.257004192668494, RMSE: 5.271283051428832
Testing Epoch: 94, Rp: 0.8316506125527262, R2: 0.37939975322931574, MAE: 3.2410339940307114, RMSE: 5.245028974596923
Testing Epoch: 95, Rp: 0.8322721451207162, R2: 0.38541129096732973, MAE: 3.225416772584642, RMSE: 5.219563774937423
Testing Epoch: 96, Rp: 0.8328829865666952, R2: 0.39132390167536635, MAE: 3.209902167251964, RMSE: 5.194395860143862
Testing Epoch: 97, Rp: 0.8335025168979661, R2: 0.3970834512463406, MAE: 3.19496353815178, RMSE: 5.169761666294653
Testing Epoch: 98, Rp: 0.8341358463729344, R2: 0.4028599798616703, MAE: 3.179891901917011, RMSE: 5.14493638092243
Testing Epoch: 99, Rp: 0.834762261795619, R2: 0.4086020254325329, MAE: 3.1647630374005855, RMSE: 5.120140000591184
Testing Epoch: 100, Rp: 0.8353961927761393, R2: 0.414300930932902, MAE: 3.1494786969414523, RMSE: 5.095410604232211
Testing Epoch: 101, Rp: 0.8359987096384143, R2: 0.41978931766953886, MAE: 3.1347592584164232, RMSE: 5.071480732890186
Testing Epoch: 102, Rp: 0.8366105436858451, R2: 0.42523617915775125, MAE: 3.12016233349457, RMSE: 5.04761975368704
